page_id,page_length,page_namespace,page_title
1,65,0,'Main_Page'
5,104,2,'Davidcannon'
46,4,8,'And'
127,38,8,'Contributions'
171,15,8,'Diff'
180,16,8,'Edit'
208,13,8,'Error'
209,13,8,'Errorpagetitle'
250,10,8,'History'
282,28,8,'Internalerror'
318,41,8,'Listusers'
321,28,8,'Localtime'
333,29,8,'Loginpagetitle'
344,30,8,'Longpages'
381,30,8,'Math_unknown_error'
389,8,8,'Minoreditletter'
401,43,8,'Movearticle'
405,43,8,'Movepage'
406,43,8,'Movepagebtn'
430,3,8,'Newpageletter'
506,24,8,'Otherlanguages'
519,39,4,'«Жамагаталъул_порталалде»_регІелал_гьарулел_гьумерал'
520,44,8,'Portal-url'
614,16,8,'Rights'
620,12,8,'Saturday'
621,35,8,'Savearticle'
658,0,8,'Sitenotice'
721,13,8,'Sunday'
819,39,8,'Uploadnologin'
843,34,8,'Userlogout'
845,38,8,'Userpage'
848,149,8,'Userstatstext'
882,21,8,'Watch'
885,44,8,'Watchlist'
886,77,8,'Watchlistcontains'
895,11,8,'Wednesday'
921,280,1,'Political_science'
922,111,1,'Language'
923,20,2,'っ~avwiki'
924,4031,3,'Drom~avwiki'
925,1392,2,'Richie'
926,5956,2,'RCBot~avwiki'
927,32,0,'Daghistan'
928,61,0,'Avar_maðh'
929,510,2,'Amikeco'
930,1347,3,'Amikeco'
931,87,14,'Дагъистан'
932,4604,3,'Qurqa~avwiki'
933,43,0,'Расул_ХӀамзатов'
934,2203,10,'Wikipedialang'
935,209,1,'Расул_ХӀамзатов'
936,227,0,'География'
937,45,2,'Alvaro'
950,18,8,'Specialloguserlabel'
1327,45,8,'Userrights-user-editname'
1357,14,8,'Watchlistall1'
1365,111,2,'Untifler'
1366,3447,3,'Untifler'
1367,24,2,'F~avwiki'
1394,58,0,'Махачкала'
1395,28,0,'Дербент'
1396,22,0,'Буйнакск'
1397,4144,0,'Гъизляр'
1420,1165,10,'Db'
1421,326,14,'Candidates_for_speedy_deletion'
1424,56,14,'МагӀарул_мацӀ'
1425,67,14,'География'
1426,47,2,'Jvano~avwiki'
1427,91,3,'Davidcannon'
1429,64,14,'Шагьарал'
1430,4538,0,'Каспиялъухъ'
1431,5962,0,'Шималияб_Гьиристан'
1432,339,3,'61.248.79.240'
1433,838,2,'Diagraph01'
1434,9396,0,'ХӀамзатил_Расул'
1435,48,1,'ХӀамзатил_Расул'
1436,747,1,'Main_Page'
1477,1016,3,'Мурад'
1478,2168,2,'Incelemeelemani'
1479,4496,2,'Taichi'
1480,141,2,'Korg'
1481,142,2,'Korg/monobook.js'
1502,0,15,'Wikipedia'
1503,1266,1,'МагІарул_мацІ'
1504,0,2,'Мурад'
1507,0,1,'География'
1512,47,2,'Miaow_Miaow'
1524,7302,0,'БетӀераб_гьумер'
1527,103,2,'Interwiki_de~avwiki'
1528,89,2,'Koavf'
1529,94,2,'Absar'
1531,3163,3,'Absar'
1532,35,2,'Ajsmen91'
1533,488,2,'Aurevilly'
1534,174,3,'Aurevilly'
1535,0,5,'Портал_сообщества'
1563,12693,3,'Gangleri'
1596,9707,2,'Jon_Harald_Søby'
1597,169,3,'Dcljr'
1598,520,2,'Dcljr'
1599,307,2,'Proofreader'
1600,61,0,'МагӀарул_мацӀ'
1601,82,1,'МагӀарул_мацӀ'
1602,61537,0,'Дагъистан'
1607,14938,0,'Къудукьа_МухІамад'
1608,622,0,'Авария'
1611,969,0,'MONARCH79_ясул_хlакъалъулъ_бахlс'
1612,74,4,'ЦIех-рех'
1613,74,4,'Политика_конфиденциальности'
1614,76,4,'Администраторы'
1615,30,0,'Batasuna'
1616,38,2,'Sirius_Zwarts_Bot~avwiki'
1617,30,0,'Avaria_Magna'
1618,69,0,'Đhar_aral_Avaral'
1619,32346,1,'БетӀераб_гьумер'
1621,141,1,'Zergeisterung'
1622,198,2,'Ezhiki'
1623,23970,3,'Avarian'
1624,635,2,'MONARCH79'
1625,12143,0,'МагІарулал'
1626,56,0,'Аварал'
1628,240,14,'Дагъистаналъул_шагьарал'
1629,10630,0,'МахІачхъала'
1630,1468,4,'Администраторал'
1631,24,14,'Википедия'
1632,58,0,'МахӀачхъала'
1633,56,0,'МагӀарулал'
1634,5037,3,'N-true'
1635,1305,0,'Батасуна'
1636,4538,2,'N-true'
1637,82,1,'Avar_maðh'
1640,27,0,'Зубутли'
1642,910,0,'ЦIобокь'
1644,2132,0,'Сулахъ'
1645,27,0,'Zubutly'
1646,4134,0,'Гъизилюрт'
1647,5869,0,'Хасавюрт'
1648,57,0,'ГӀурус_мацӀ'
1649,3581,0,'Шура'
1650,3599,0,'Южно-Сухокумск'
1651,53,0,'Дагестанские_Огни'
1652,4172,0,'Избербаш'
1653,2443,0,'Каспий_ралъад'
1656,205,14,'ГIурус_мацI'
1658,67,14,'Славяниял_мацIал'
1659,492,7,'Caspian_Sea_from_orbit.jpg'
1661,20306,0,'МагІарул_мацІ'
1662,57,0,'Гурус_мацI'
1663,27970,1,'МагІарулал'
1664,5631,2,'Avarian'
1665,0,1,'ГӀурус_мацӀ'
1666,137,3,'Diagraph01'
1667,69,0,'Ķudutļa_Muħammad'
1668,65,0,'Заглавная_страница'
1669,86,1,'Заглавная_страница'
1670,104,4,'Справка'
1674,37,8,'Жакъасел_лъугьа-бахъинал'
1675,2863,0,'Баку'
1676,32,0,'Азербайджан'
1677,13807,0,'Россиялъул_Федерация'
1679,19,8,'Rcshowhideanons'
1680,9,8,'Rcshowhidebots'
1681,50,8,'Rcshowhideliu'
1683,51,8,'Rcshowhideminor'
1684,493,4,'КъагІидаби_ва_малъа-хъваял'
1685,104,4,'Справка_по_редактированию'
1690,63,14,'МагIарул_мацI'
1691,5826,0,'21абилеб_май'
1692,62,8,'Fromwikipedia'
1693,5801,0,'30_май'
1694,45,0,'30_мая'
1695,375,0,'1416'
1696,614,0,'2003_сон'
1697,195,0,'1982_сон'
1698,175,0,'1971'
1699,209,0,'1942'
1700,162,0,'1941'
1701,195,0,'1871'
1702,239,0,'1814'
1703,182,0,'1805'
1704,239,0,'1498'
1705,189,0,'1431'
1706,3754,0,'1_Июн'
1707,44,0,'1_июня'
1709,35,0,'21_май'
1710,1215,0,'Этник-радио'
1711,2993,0,'2_Июн'
1712,44,0,'2_июня'
1713,2051,10,'Сонал'
1714,286,2,'Av.robot'
1715,552,10,'MetaPicstub'
1716,163,10,'Сон-тIинчI'
1717,105,10,'ТӀинчӀ'
1718,58,14,'Соназул_хIакъалъулъ_тIурачIел_макъалаби'
1719,83,14,'ТIурачIел_макъалаби'
1720,278,0,'1900'
1721,59,14,'1900'
1722,276,0,'1901'
1723,58,14,'1901'
1724,483,0,'1902'
1725,58,14,'1902'
1726,276,0,'1903'
1727,58,14,'1903'
1728,276,0,'1904'
1729,58,14,'1904'
1730,276,0,'1905'
1731,58,14,'1905'
1732,276,0,'1906'
1733,58,14,'1906'
1734,276,0,'1907'
1735,58,14,'1907'
1736,276,0,'1909'
1737,58,14,'1909'
1738,414231,4,'ЖамагІаталъул_портал'
1739,235,2,'Jose77'
1740,4821,3,'Jose77'
1742,257,10,'Eng'
1743,276,0,'1910'
1744,58,14,'1910'
1745,276,0,'1911'
1746,58,14,'1911'
1747,276,0,'1912'
1748,58,14,'1912'
1749,276,0,'1913'
1750,58,14,'1913'
1751,58,14,'1914'
1752,276,0,'1915'
1753,58,14,'1915'
1754,304,0,'1916'
1755,58,14,'1916'
1756,2400,0,'1917'
1757,58,14,'1917'
1758,276,0,'1918'
1759,58,14,'1918'
1760,276,0,'1919'
1761,58,14,'1919'
1762,276,0,'1920'
1763,58,14,'1920'
1764,388,10,'Tl'
1765,5933,4,'ТIинчI'
1767,3600,0,'Дербенд'
1770,276,0,'1921'
1771,58,14,'1921'
1772,276,0,'1922'
1773,58,14,'1922'
1774,276,0,'1923'
1775,58,14,'1923'
1776,294,0,'1924'
1777,58,14,'1924'
1778,276,0,'1925'
1779,58,14,'1925'
1780,276,0,'1926'
1781,58,14,'1926'
1782,276,0,'1927'
1783,58,14,'1927'
1784,276,0,'1928'
1785,58,14,'1928'
1786,276,0,'1929'
1787,58,14,'1929'
1788,276,0,'1930'
1789,58,14,'1930'
1790,276,0,'1931'
1791,58,14,'1931'
1792,276,0,'1932'
1793,58,14,'1932'
1794,276,0,'1933'
1795,58,14,'1933'
1796,276,0,'1934'
1797,58,14,'1934'
1798,276,0,'1935'
1799,58,14,'1935'
1800,276,0,'1936'
1801,58,14,'1936'
1802,276,0,'1937'
1803,58,14,'1937'
1804,276,0,'1938'
1805,58,14,'1938'
1806,276,0,'1939'
1807,58,14,'1939'
1808,276,0,'1940'
1809,58,14,'1940'
1810,58,14,'1941'
1811,58,14,'1942'
1812,276,0,'1943'
1813,58,14,'1943'
1814,276,0,'1944'
1815,58,14,'1944'
1816,1057,0,'1945'
1817,58,14,'1945'
1818,276,0,'1946'
1819,58,14,'1946'
1820,276,0,'1947'
1821,58,14,'1947'
1822,276,0,'1948'
1823,58,14,'1948'
1824,276,0,'1949'
1825,58,14,'1949'
1826,276,0,'1950'
1827,58,14,'1950'
1828,276,0,'1951'
1829,58,14,'1951'
1830,276,0,'1952'
1831,58,14,'1952'
1832,222,0,'1953'
1833,58,14,'1953'
1834,276,0,'1954'
1835,58,14,'1954'
1836,276,0,'1955'
1837,58,14,'1955'
1838,276,0,'1956'
1839,58,14,'1956'
1840,276,0,'1957'
1841,58,14,'1957'
1842,276,0,'1958'
1843,58,14,'1958'
1844,276,0,'1959'
1845,58,14,'1959'
1846,276,0,'1960'
1847,58,14,'1960'
1848,276,0,'1961'
1849,58,14,'1961'
1850,276,0,'1962'
1851,58,14,'1962'
1852,276,0,'1963'
1853,58,14,'1963'
1854,276,0,'1964'
1855,58,14,'1964'
1856,276,0,'1965'
1857,58,14,'1965'
1858,276,0,'1966'
1859,58,14,'1966'
1860,276,0,'1967'
1861,58,14,'1967'
1862,276,0,'1968'
1863,58,14,'1968'
1864,276,0,'1969'
1865,58,14,'1969'
1866,276,0,'1970'
1867,58,14,'1970'
1868,58,14,'1971'
1869,276,0,'1972'
1870,58,14,'1972'
1871,276,0,'1973'
1872,58,14,'1973'
1873,276,0,'1974'
1874,58,14,'1974'
1875,276,0,'1975'
1876,58,14,'1975'
1877,276,0,'1976'
1878,58,14,'1976'
1879,276,0,'1977'
1880,58,14,'1977'
1881,276,0,'1978'
1882,58,14,'1978'
1883,276,0,'1979'
1884,58,14,'1979'
1885,276,0,'1980_сон'
1886,58,14,'1980'
1887,276,0,'1981_сон'
1888,58,14,'1981'
1889,58,14,'1982'
1890,25,0,'1983'
